Site_Name,Domain,Category,Sub_Category,Batch_Source  
Kemah Boardwalk Texas,kemahboardwalk.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Galveston Island Historic Pleasure Pier,pleasurepier.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Pacific Park Santa Monica,pacpark.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Belmont Park San Diego,belmontpark.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Luna Park Coney Island,lunaparknyc.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Morey's Piers New Jersey,moreyspiers.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Playland's Castaway Cove,oceancityfun.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Family Kingdom Amusement Park,familykingdomfun.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Casino Pier & Breakwater Beach,casinopiernj.com,Entertainment,Amusement Park,New_Batch_5PDFs  
Elitch Gardens Colorado,elitchgardens.com,Entertainment,Theme Park,New_Batch_5PDFs  
Wild Adventures Georgia,wildadventures.com,Entertainment,Theme Park,New_Batch_5PDFs  
Magic Springs Arkansas,magicsprings.com,Entertainment,Theme Park,New_Batch_5PDFs  
Lake Compounce Connecticut,lakecompounce.com,Entertainment,Theme Park,New_Batch_5PDFs  
Dutch Wonderland Pennsylvania,dutchwonderland.com,Entertainment,Theme Park,New_Batch_5PDFs  
Story Land New Hampshire,storylandnh.com,Entertainment,Theme Park,New_Batch_5PDFs  
Idlewild & SoakZone Pennsylvania,idlewild.com,Entertainment,Theme Park,New_Batch_5PDFs  
Tropic Falls at OWA Alabama,visitowa.com,Entertainment,Theme Park,New_Batch_5PDFs  
Cliff's Amusement Park New Mexico,cliffsamusementpark.com,Entertainment,Theme Park,New_Batch_5PDFs  
Castles N' Coasters Arizona,castlesncoasters.com,Entertainment,Theme Park,New_Batch_5PDFs  
The Adventuredome Circus Circus,circuscircus.com/the-adventuredome,Entertainment,Indoor Theme Park,New_Batch_5PDFs  
Fun Spot America,fun-spot.com,Entertainment,Theme Park,New_Batch_5PDFs  
Morgan's Wonderland Texas,morganswonderland.com,Entertainment,Theme Park,New_Batch_5PDFs  
Quassy Amusement & Waterpark,quassy.com,Entertainment,Theme Park,New_Batch_5PDFs  
Seabreeze Amusement Park,seabreeze.com,Entertainment,Theme Park,New_Batch_5PDFs  
Waldameer & Water World,waldameer.com,Entertainment,Theme Park,New_Batch_5PDFs  
Canobie Lake Park,canobie.com,Entertainment,Theme Park,New_Batch_5PDFs  
Funtown Splashtown USA,funtownsplashtownusa.com,Entertainment,Theme Park,New_Batch_5PDFs  
Digital Federal Credit Union DCU,dcu.org,Financial,Credit Union,New_Batch_5PDFs  
Boeing Employees Credit Union BECU,becu.org,Financial,Credit Union,New_Batch_5PDFs  
VyStar Credit Union,vystarcu.org,Financial,Credit Union,New_Batch_5PDFs  
Mountain America Credit Union,macu.com,Financial,Credit Union,New_Batch_5PDFs  
America First Credit Union,americafirst.com,Financial,Credit Union,New_Batch_5PDFs  
First Tech Federal Credit Union,firsttechfed.com,Financial,Credit Union,New_Batch_5PDFs  
Bethpage Federal Credit Union,bethpagefcu.com,Financial,Credit Union,New_Batch_5PDFs  
GreenState Credit Union,greenstate.org,Financial,Credit Union,New_Batch_5PDFs  
Delta Community Credit Union,deltacommunitycu.com,Financial,Credit Union,New_Batch_5PDFs  
Kinecta Federal Credit Union,kinecta.org,Financial,Credit Union,New_Batch_5PDFs  
Visions Federal Credit Union,visionsfcu.org,Financial,Credit Union,New_Batch_5PDFs  
Wright-Patt Credit Union,wpcu.coop,Financial,Credit Union,New_Batch_5PDFs  
Consumers Credit Union,consumerscu.org,Financial,Credit Union,New_Batch_5PDFs  
Affinity Plus Federal Credit Union,affinityplus.org,Financial,Credit Union,New_Batch_5PDFs  
Veridian Credit Union,veridiancu.org,Financial,Credit Union,New_Batch_5PDFs  
WSECU Washington State Employees,wsecu.org,Financial,Credit Union,New_Batch_5PDFs  
Landmark Credit Union,landmarkcu.com,Financial,Credit Union,New_Batch_5PDFs  
Elevations Credit Union,elevationscu.com,Financial,Credit Union,New_Batch_5PDFs  
Idaho Central Credit Union,iccu.com,Financial,Credit Union,New_Batch_5PDFs  
Broadview Federal Credit Union,broadviewfcu.com,Financial,Credit Union,New_Batch_5PDFs  
Canvas Credit Union,canvas.org,Financial,Credit Union,New_Batch_5PDFs  
Lake Michigan Credit Union,lmcu.org,Financial,Credit Union,New_Batch_5PDFs  
ANA Mileage Club,ana.co.jp,Travel,Airline,New_Batch_5PDFs  
Japan Airlines JAL,jal.co.jp,Travel,Airline,New_Batch_5PDFs  
LATAM Airlines,latamairlines.com,Travel,Airline,New_Batch_5PDFs  
Copa Airlines,copaair.com,Travel,Airline,New_Batch_5PDFs  
Finnair,finnair.com,Travel,Airline,New_Batch_5PDFs  
Icelandair,icelandair.com,Travel,Airline,New_Batch_5PDFs  
Scandinavian Airlines SAS,flysas.com,Travel,Airline,New_Batch_5PDFs  
TAP Air Portugal,flytap.com,Travel,Airline,New_Batch_5PDFs  
Aer Lingus,aerlingus.com,Travel,Airline,New_Batch_5PDFs  
Iberia,iberia.com,Travel,Airline,New_Batch_5PDFs  
Garuda Indonesia,garuda-indonesia.com,Travel,Airline,New_Batch_5PDFs  
Korean Air,koreanair.com,Travel,Airline,New_Batch_5PDFs  
Vietnam Airlines,vietnamairlines.com,Travel,Airline,New_Batch_5PDFs  
Air New Zealand,airnewzealand.com,Travel,Airline,New_Batch_5PDFs  
Fiji Airways,fijiairways.com,Travel,Airline,New_Batch_5PDFs  
WestJet,westjet.com,Travel,Airline,New_Batch_5PDFs  
Porter Airlines,flyporter.com,Travel,Airline,New_Batch_5PDFs  
Avianca LifeMiles,lifemiles.com,Travel,Airline,New_Batch_5PDFs  
Aeromexico,aeromexico.com,Travel,Airline,New_Batch_5PDFs  
Ethiopian Airlines,ethiopianairlines.com,Travel,Airline,New_Batch_5PDFs  
Royal Air Maroc,royalairmaroc.com,Travel,Airline,New_Batch_5PDFs  
Kenya Airways,kenya-airways.com,Travel,Airline,New_Batch_5PDFs  
Air India,airindia.in,Travel,Airline,New_Batch_5PDFs  
Saudia,saudia.com,Travel,Airline,New_Batch_5PDFs  
Gulf Air,gulfair.com,Travel,Airline,New_Batch_5PDFs  
Oman Air,omanair.com,Travel,Airline,New_Batch_5PDFs  
SriLankan Airlines,srilankan.com,Travel,Airline,New_Batch_5PDFs  
Malaysia Airlines,malaysiaairlines.com,Travel,Airline,New_Batch_5PDFs  
Thai Airways,thaiairways.com,Travel,Airline,New_Batch_5PDFs  
Philippine Airlines,philippineairlines.com,Travel,Airline,New_Batch_5PDFs  
Hainan Airlines,hainanairlines.com,Travel,Airline,New_Batch_5PDFs  
Air Tahiti Nui,airtahitinui.com,Travel,Airline,New_Batch_5PDFs  
Brussels Airlines,brusselsairlines.com,Travel,Airline,New_Batch_5PDFs  
Avalon Waterways,avalonwaterways.com,Travel,River Cruise,New_Batch_5PDFs  
Uniworld Boutique River Cruises,uniworld.com,Travel,River Cruise,New_Batch_5PDFs  
Scenic Luxury Cruises,scenicusa.com,Travel,River Cruise,New_Batch_5PDFs  
Emerald Cruises,emeraldcruises.com,Travel,River Cruise,New_Batch_5PDFs  
Hurtigruten Expeditions,hurtigruten.com,Travel,Expedition Cruise,New_Batch_5PDFs  
Ponant,ponant.com,Travel,Expedition Cruise,New_Batch_5PDFs  
Paul Gauguin Cruises,pgcruises.com,Travel,Cruise,New_Batch_5PDFs  
SeaDream Yacht Club,seadream.com,Travel,Cruise,New_Batch_5PDFs  
Star Clippers,starclippers.com,Travel,Cruise,New_Batch_5PDFs  
Windstar Cruises,windstarcruises.com,Travel,Cruise,New_Batch_5PDFs  
Celestyal Cruises,celestyal.com,Travel,Cruise,New_Batch_5PDFs  
Aqua Expeditions,aquaexpeditions.com,Travel,Expedition Cruise,New_Batch_5PDFs  
Quark Expeditions,quarkexpeditions.com,Travel,Expedition Cruise,New_Batch_5PDFs  
CroisiEurope,croisieuroperivercruises.com,Travel,River Cruise,New_Batch_5PDFs  
Amadeus River Cruises,amadeus-rivercruises.com,Travel,River Cruise,New_Batch_5PDFs  
UnCruise Adventures,uncruise.com,Travel,Expedition Cruise,New_Batch_5PDFs  
Pearl Seas Cruises,pearlseascruises.com,Travel,Cruise,New_Batch_5PDFs  
Riviera River Cruises,rivierarivercruises.com,Travel,River Cruise,New_Batch_5PDFs  
Alamo Drafthouse,drafthouse.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Marcus Theatres,marcustheatres.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Harkins Theatres,harkins.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Bow Tie Cinemas,bowtiecinemas.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Malco Theatres,malco.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Megaplex Theatres,megaplextheatres.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Studio Movie Grill,studiomoviegrill.com,Entertainment,Movie Theater,New_Batch_5PDFs  
B\&B Theatres,bbtheatres.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Classic Cinemas,classiccinemas.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Landmark Theatres,landmarktheatres.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Laemmle Theatres,laemmle.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Angelika Film Center,angelikafilmcenter.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Nitehawk Cinema,nitehawkcinema.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Showcase Cinemas,showcasecinemas.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Maya Cinemas,mayacinemas.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Santikos Entertainment,santikos.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Frank Theatres,franktheatres.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Galaxy Theatres,galaxytheatres.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Celebration Cinema,celebrationcinema.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Renfe Spain,renfe.com,Travel,Rail,New_Batch_5PDFs  
Trenitalia Italy,trenitalia.com,Travel,Rail,New_Batch_5PDFs  
Italo Treno Italy,italotreno.it,Travel,Rail,New_Batch_5PDFs  
SNCF France,sncf.com,Travel,Rail,New_Batch_5PDFs  
Deutsche Bahn Germany,bahn.com,Travel,Rail,New_Batch_5PDFs  
OBB Austria,oebb.at,Travel,Rail,New_Batch_5PDFs  
SBB Switzerland,sbb.ch,Travel,Rail,New_Batch_5PDFs  
NS Netherlands,ns.nl,Travel,Rail,New_Batch_5PDFs  
SNCB Belgium,belgiantrain.be,Travel,Rail,New_Batch_5PDFs  
Eurostar,eurostar.com,Travel,Rail,New_Batch_5PDFs  
LNER UK,lner.co.uk,Travel,Rail,New_Batch_5PDFs  
Avanti West Coast UK,avantiwestcoast.co.uk,Travel,Rail,New_Batch_5PDFs  
Great Western Railway UK,gwr.com,Travel,Rail,New_Batch_5PDFs  
CrossCountry UK,crosscountrytrains.co.uk,Travel,Rail,New_Batch_5PDFs  
ScotRail UK,scotrail.co.uk,Travel,Rail,New_Batch_5PDFs  
TransPennine Express UK,transpennineexpress.co.uk,Travel,Rail,New_Batch_5PDFs  
FlixBus,flixbus.com,Travel,Bus,New_Batch_5PDFs  
Megabus,megabus.com,Travel,Bus,New_Batch_5PDFs  
National Express UK,nationalexpress.com,Travel,Bus,New_Batch_5PDFs  
RedCoach US,redcoachusa.com,Travel,Bus,New_Batch_5PDFs  
Peter Pan Bus Lines,peterpanbus.com,Travel,Bus,New_Batch_5PDFs  
Jefferson Lines,jeffersonlines.com,Travel,Bus,New_Batch_5PDFs  
Concord Coach Lines,concordcoachlines.com,Travel,Bus,New_Batch_5PDFs  
Dartmouth Coach,dartmouthcoach.com,Travel,Bus,New_Batch_5PDFs  
C\&J Bus Lines,ridecj.com,Travel,Bus,New_Batch_5PDFs  
Indian Trails,indiantrails.com,Travel,Bus,New_Batch_5PDFs  
OurBus,ourbus.com,Travel,Bus,New_Batch_5PDFs  
Vamoose Bus,vamoosebus.com,Travel,Bus,New_Batch_5PDFs  
Everlane,everlane.com,Retail,Apparel,New_Batch_5PDFs  
Reformation,reformation.com,Retail,Apparel,New_Batch_5PDFs  
Cuyana,cuyana.com,Retail,Apparel,New_Batch_5PDFs  
Sezane,sezane.com,Retail,Apparel,New_Batch_5PDFs  
Rouje,rouje.com,Retail,Apparel,New_Batch_5PDFs  
Ganni,ganni.com,Retail,Apparel,New_Batch_5PDFs  
APC,apc-us.com,Retail,Apparel,New_Batch_5PDFs  
Ami Paris,ami-paris.com,Retail,Apparel,New_Batch_5PDFs  
Maison Kitsune,maisonkitsune.com,Retail,Apparel,New_Batch_5PDFs  
Sandro Paris,sandro-paris.com,Retail,Apparel,New_Batch_5PDFs  
Maje,maje.com,Retail,Apparel,New_Batch_5PDFs  
Claudie Pierlot,claudiepierlot.com,Retail,Apparel,New_Batch_5PDFs  
The Kooples,thekooples.com,Retail,Apparel,New_Batch_5PDFs  
Zadig & Voltaire,zadig-et-voltaire.com,Retail,Apparel,New_Batch_5PDFs  
AllSaints,allsaints.com,Retail,Apparel,New_Batch_5PDFs  
Reiss,reiss.com,Retail,Apparel,New_Batch_5PDFs  
Ted Baker,tedbaker.com,Retail,Apparel,New_Batch_5PDFs  
Paul Smith,paulsmith.com,Retail,Apparel,New_Batch_5PDFs  
Hackett London,hackett.com,Retail,Apparel,New_Batch_5PDFs  
Barbour,barbour.com,Retail,Apparel,New_Batch_5PDFs  
Belstaff,belstaff.com,Retail,Apparel,New_Batch_5PDFs  
Filson,filson.com,Retail,Apparel,New_Batch_5PDFs  
Orlebar Brown,orlebarbrown.com,Retail,Apparel,New_Batch_5PDFs  
Sunspel,sunspel.com,Retail,Apparel,New_Batch_5PDFs  
Frescobol Carioca,frescobolcarioca.com,Retail,Apparel,New_Batch_5PDFs  
Vilebrequin,vilebrequin.com,Retail,Apparel,New_Batch_5PDFs  
Faherty,fahertybrand.com,Retail,Apparel,New_Batch_5PDFs  
Outerknown,outerknown.com,Retail,Apparel,New_Batch_5PDFs  
Marine Layer,marinelayer.com,Retail,Apparel,New_Batch_5PDFs  
Nando's Peri-Peri,nandosperiperi.com,Restaurant,Casual Dining,New_Batch_5PDFs  
Leon,leon.co,Restaurant,Fast Casual,New_Batch_5PDFs  
Wagamama,wagamama.com,Restaurant,Casual Dining,New_Batch_5PDFs  
Itsu,itsu.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Wasabi,wasabi.uk.com,Restaurant,Fast Casual,New_Batch_5PDFs  
YO\! Sushi,yosushi.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Franco Manca,francomanca.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
Dishoom,dishoom.com,Restaurant,Casual Dining,New_Batch_5PDFs  
Hawksmoor,thehawksmoor.com,Restaurant,Fine Dining,New_Batch_5PDFs  
PizzaExpress,pizzaexpress.com,Restaurant,Casual Dining,New_Batch_5PDFs  
Zizzi,zizzi.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
Ask Italian,askitalian.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
Bella Italia,bellaitalia.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
Carluccio's,carluccios.com,Restaurant,Casual Dining,New_Batch_5PDFs  
Cote Brasserie,cote.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
Bill's Restaurants,bills-website.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
Browns Brasserie,browns-restaurants.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
The Ivy Collection,the-ivy.co.uk,Restaurant,Fine Dining,New_Batch_5PDFs  
Lounges Cosy Club,thelounges.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
Miller & Carter,millerandcarter.co.uk,Restaurant,Casual Dining,New_Batch_5PDFs  
Jollibee,jollibeefoods.com,Restaurant,Fast Food,New_Batch_5PDFs  
Din Tai Fung,dintaifungusa.com,Restaurant,Casual Dining,New_Batch_5PDFs  
Ippudo,ippudous.com,Restaurant,Casual Dining,New_Batch_5PDFs  
HaiDiLao Hot Pot,haidilao.com,Restaurant,Casual Dining,New_Batch_5PDFs  
Ichiran,ichiranusa.com,Restaurant,Casual Dining,New_Batch_5PDFs  
Ootoya,ootoya.us,Restaurant,Casual Dining,New_Batch_5PDFs  
Gong Cha,gongchausa.com,Restaurant,Beverage,New_Batch_5PDFs  
Chatime,chatime.com,Restaurant,Beverage,New_Batch_5PDFs  
Tiger Sugar,tigersugar.com,Restaurant,Beverage,New_Batch_5PDFs  
WinCo Foods,wincofoods.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Good Eggs,goodeggs.com,Grocery,Delivery,New_Batch_5PDFs  
Hungryroot,hungryroot.com,Grocery,Delivery,New_Batch_5PDFs  
Amazon Fresh,amazon.com/fresh,Grocery,Delivery,New_Batch_5PDFs  
Eataly,eataly.com,Grocery,Specialty,New_Batch_5PDFs  
Mitsuwa Marketplace,mitsuwa.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Uwajimaya,uwajimaya.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Tokyo Central,tokyocentral.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Zion Market,zionmarket.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Seafood City,seafoodcity.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Patel Brothers,patelbros.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Lotte Plaza Market,lotteplaza.com,Grocery,Niche Grocer,New_Batch_5PDFs  
Sedano's Supermarkets,sedanos.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Presidente Supermarkets,presidentesupermarkets.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Bravo Supermarkets,bravosupermarkets.com,Grocery,Regional Grocer,New_Batch_5PDFs  
RSPCA UK,rspca.org.uk,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Battersea Dogs & Cats Home,battersea.org.uk,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Dogs Trust,dogstrust.org.uk,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Cats Protection,cats.org.uk,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Blue Cross for Pets,bluecross.org.uk,Nonprofit,Animal Welfare,New_Batch_5PDFs  
SPCA International,spcai.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Soi Dog Foundation,soidog.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Animal Rescue League of Boston,arlboston.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
San Francisco SPCA,sfspca.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
PAWS Chicago,pawschicago.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Best Friends Animal Society,bestfriends.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Austin Pets Alive,austinpetsalive.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Atlanta Humane Society,atlantahumane.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Seattle Humane,seattlehumane.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Dumb Friends League Colorado,ddfl.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Oregon Humane Society,oregonhumane.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Humane Society of New York,humanesocietyny.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
ASPCA,aspca.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
North Shore Animal League America,animalleague.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
SPCA of Texas,spca.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Animal Care Centers of NYC,nycacc.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Tinker Federal Credit Union,tinkerfcu.org,Financial,Credit Union,New_Batch_5PDFs  
Randolph-Brooks Federal Credit Union,rbfcu.org,Financial,Credit Union,New_Batch_5PDFs  
Golden 1 Credit Union,golden1.com,Financial,Credit Union,New_Batch_5PDFs  
All In Credit Union,allincu.com,Financial,Credit Union,New_Batch_5PDFs  
Truliant Federal Credit Union,truliantfcu.org,Financial,Credit Union,New_Batch_5PDFs  
Redwood Credit Union,redwoodcu.org,Financial,Credit Union,New_Batch_5PDFs  
Teachers Credit Union,tcunet.com,Financial,Credit Union,New_Batch_5PDFs  
Community First Credit Union,communityfirstfl.org,Financial,Credit Union,New_Batch_5PDFs  
First Community Credit Union,fccu.org,Financial,Credit Union,New_Batch_5PDFs  
State Department Federal Credit Union,sdfcu.org,Financial,Credit Union,New_Batch_5PDFs  
Affinity Federal Credit Union,affinityfcu.com,Financial,Credit Union,New_Batch_5PDFs  
Patelco Credit Union,patelco.org,Financial,Credit Union,New_Batch_5PDFs  
Bellco Credit Union,bellco.org,Financial,Credit Union,New_Batch_5PDFs  
ESL Federal Credit Union,esl.org,Financial,Credit Union,New_Batch_5PDFs  
Hudson Valley Credit Union,hvcu.org,Financial,Credit Union,New_Batch_5PDFs  
Ent Credit Union,ent.com,Financial,Credit Union,New_Batch_5PDFs  
Summit Credit Union,summitcreditunion.com,Financial,Credit Union,New_Batch_5PDFs  
Citadel Credit Union,citadelbanking.com,Financial,Credit Union,New_Batch_5PDFs  
Desert Financial Credit Union,desertfinancial.com,Financial,Credit Union,New_Batch_5PDFs  
Logix Federal Credit Union,logixbanking.com,Financial,Credit Union,New_Batch_5PDFs  
OnPoint Community Credit Union,onpointcu.com,Financial,Credit Union,New_Batch_5PDFs  
SECU North Carolina,ncsecu.org,Financial,Credit Union,New_Batch_5PDFs  
Breeze Airways,flybreeze.com,Travel,Airline,New_Batch_5PDFs  
Sun Country Airlines,suncountry.com,Travel,Airline,New_Batch_5PDFs  
Silver Airways,silverairways.com,Travel,Airline,New_Batch_5PDFs  
Cape Air,capeair.com,Travel,Airline,New_Batch_5PDFs  
Boutique Air,boutiqueair.com,Travel,Airline,New_Batch_5PDFs  
Contour Airlines,contourairlines.com,Travel,Airline,New_Batch_5PDFs  
Mokulele Airlines,mokuleleairlines.com,Travel,Airline,New_Batch_5PDFs  
Southern Airways Express,iflysouthern.com,Travel,Airline,New_Batch_5PDFs  
Kenmore Air,kenmoreair.com,Travel,Airline,New_Batch_5PDFs  
Tradewind Aviation,flytradewind.com,Travel,Airline,New_Batch_5PDFs  
JSX,jsx.com,Travel,Airline,New_Batch_5PDFs  
Advanced Air,advancedairlines.com,Travel,Airline,New_Batch_5PDFs  
Bering Air,beringair.com,Travel,Airline,New_Batch_5PDFs  
Grant Aviation,flygrant.com,Travel,Airline,New_Batch_5PDFs  
Fridley Theatres,fridleytheatres.com,Entertainment,Movie Theater,New_Batch_5PDFs  
VIP Cinemas,vipcinemas.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Cinergy Entertainment,cinergy.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Emagine Entertainment,emagine-entertainment.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Cobb Theatres,cobbtheatres.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Krikorian Premiere Theatres,kptmovies.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Reading Cinemas,readingcinemasus.com,Entertainment,Movie Theater,New_Batch_5PDFs  
ShowBiz Cinemas,showbizcinemas.com,Entertainment,Movie Theater,New_Batch_5PDFs  
Silverspot Cinema,silverspot.net,Entertainment,Movie Theater,New_Batch_5PDFs  
Runza,runza.com,Restaurant,Fast Food,New_Batch_5PDFs  
Pal's Sudden Service,palsweb.com,Restaurant,Fast Food,New_Batch_5PDFs  
Bojangles,bojangles.com,Restaurant,Fast Food,New_Batch_5PDFs  
Taco Time,tacotime.com,Restaurant,Fast Food,New_Batch_5PDFs  
Mighty Taco,mightytaco.com,Restaurant,Fast Food,New_Batch_5PDFs  
Dion's Pizza,dions.com,Restaurant,Pizza,New_Batch_5PDFs  
Giordano's,giordanos.com,Restaurant,Pizza,New_Batch_5PDFs  
Lou Malnati's,loumalnatis.com,Restaurant,Pizza,New_Batch_5PDFs  
Portillo's,portillos.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Skyline Chili,skylinechili.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Gold Star Chili,goldstarchili.com,Restaurant,Fast Casual,New_Batch_5PDFs  
Blake's Lotaburger,lotaburger.com,Restaurant,Fast Food,New_Batch_5PDFs  
Burgerville,burgerville.com,Restaurant,Fast Food,New_Batch_5PDFs  
Dick's Drive-In,ddir.com,Restaurant,Fast Food,New_Batch_5PDFs  
Wawa,wawa.com,Restaurant,Convenience / Food,New_Batch_5PDFs  
Sheetz,sheetz.com,Restaurant,Convenience / Food,New_Batch_5PDFs  
QuickChek,quickchek.com,Restaurant,Convenience / Food,New_Batch_5PDFs  
Casey's,caseys.com,Restaurant,Convenience / Food,New_Batch_5PDFs  
Kum & Go,kumandgo.com,Restaurant,Convenience / Food,New_Batch_5PDFs  
Hy-Vee,hy-vee.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Fareway,fareway.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Schnucks,schnucks.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Dierbergs,dierbergs.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Weis Markets,weismarkets.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Ingles Markets,ingles-markets.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Grocery Outlet,groceryoutlet.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Smart & Final,smartandfinal.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Stater Bros. Markets,staterbros.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Save Mart,savemart.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Raley's,raleys.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Brookshire's,brookshires.com,Grocery,Regional Grocer,New_Batch_5PDFs  
H-E-B,heb.com,Grocery,Regional Grocer,New_Batch_5PDFs  
Houston SPCA,houstonspca.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
SPCA Florida,spcaflorida.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Peggy Adams Animal Rescue,peggyadams.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
HALO Animal Rescue,halorescue.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Arizona Animal Welfare League,aawl.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Wayside Waifs,waysidewaifs.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Nebraska Humane Society,nehumanesociety.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Michigan Humane,michiganhumane.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Animal Humane Society MN,animalhumanesociety.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Charleston Animal Society,charlestonanimalsociety.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Humane Society of Tampa Bay,humanesocietytampa.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
San Diego Humane Society,sdhumane.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Hawaiian Humane Society,hawaiianhumane.org,Nonprofit,Animal Welfare,New_Batch_5PDFs  
Hampton Jitney,hamptonjitney.com,Travel,Bus,New_Batch_5PDFs  
Barons Bus,baronsbus.com,Travel,Bus,New_Batch_5PDFs  
Capitol Corridor,capitolcorridor.org,Travel,Rail,New_Batch_5PDFs  
SMART Sonoma-Marin Rail,sonomamarintrain.org,Travel,Rail,New_Batch_5PDFs  
Trinity Railway Express TRE,trinityrailwayexpress.org,Travel,Rail,New_Batch_5PDFs  
